Ad ID,Primary Text,Headline,CTA Text,Ad Format,First Seen Date,Landing Page URL
1998253154053756,"🎯 Strategic Investment: Up to 3 Months of Notion Business at Zero Cost → Enterprise-Grade AI Suite → No Financial Commitment Required > Invite your team!","Organize Everything. Accomplish Anything.",Get offer,Image,2025-12-01,https://fb.me/notion-business-trial
1372662174553593,"🎯 Strategic Investment: Up to 3 Months of Notion Business at Zero Cost → Enterprise-Grade AI Suite → No Financial Commitment Required > Invite your team!","Get up to $12,000 of Free Notion",Get offer,Image,2025-12-01,https://fb.me/notion-business-trial
33178017121796653,"🎯 Strategic Investment: Up to 3 Months of Notion Business at Zero Cost → Enterprise-Grade AI Suite → No Financial Commitment Required > Invite your team!","AI Automation Made Easy. Hand Off the Busywork.",Get offer,Image,2025-12-01,https://fb.me/notion-business-trial
1534506987820562,"🎯 Strategic Investment: Up to 3 Months of Notion Business at Zero Cost → Enterprise-Grade AI Suite → No Financial Commitment Required > Invite your team!","Organize Everything. Accomplish Anything.",Get offer,Image,2025-11-30,https://fb.me/notion-business-trial
1896766744269413,"🎯 Strategic Investment: Up to 3 Months of Notion Business at Zero Cost → Enterprise-Grade AI Suite → No Financial Commitment Required > Invite your team!","Automate Productivity. Elevate Collaboration.",Get offer,Image,2025-11-29,https://fb.me/notion-business-trial
1510691103499748,"🎯 Strategic Investment: Up to 3 Months of Notion Business at Zero Cost → Enterprise-Grade AI Suite → No Financial Commitment Required > Invite your team!","Get up to $12,000 of Free Notion",Get offer,Image,2025-11-28,https://fb.me/notion-business-trial
1522774482178778,"🎯 Strategic Investment: Up to 3 Months of Notion Business at Zero Cost → Enterprise-Grade AI Suite → No Financial Commitment Required > Invite your team!","Smart Collaboration Meets AI Automation",Get offer,Image,2025-11-30,https://fb.me/notion-business-trial
1917349382492571,"🎯 Strategic Investment: Up to 3 Months of Notion Business at Zero Cost → Enterprise-Grade AI Suite → No Financial Commitment Required > Invite your team!","Transform Productivity with AI-Driven Collaboration",Get offer,Image,2025-11-29,https://fb.me/notion-business-trial
1878549036373191,"🎯 Strategic Investment: Up to 3 Months of Notion Business at Zero Cost → Enterprise-Grade AI Suite → No Financial Commitment Required > Invite your team!","Work smarter, not harder with AI-driven collaboration.",Get offer,Image,2025-11-28,https://fb.me/notion-business-trial
2250604465433037,"🎯 Strategic Investment: Up to 3 Months of Notion Business at Zero Cost → Enterprise-Grade AI Suite → No Financial Commitment Required > Invite your team!","Organize Everything. Accomplish Anything.",Get offer,Image,2025-11-29,https://fb.me/notion-business-trial
815477051309468,"🎯 Strategic Investment: Up to 3 Months of Notion Business at Zero Cost → Enterprise-Grade AI Suite → No Financial Commitment Required > Invite your team!","Automate Productivity. Elevate Collaboration.",Get offer,Image,2025-11-28,https://fb.me/notion-business-trial
1920655731853268,"🎯 Strategic Investment: Up to 3 Months of Notion Business at Zero Cost → Enterprise-Grade AI Suite → No Financial Commitment Required > Invite your team!","Get up to $12,000 of Free Notion",Get offer,Image,2025-11-28,https://fb.me/notion-business-trial
4347429842143714,"🎯 Strategic Investment: Up to 3 Months of Notion Business at Zero Cost → Enterprise-Grade AI Suite → No Financial Commitment Required > Invite your team!","Dream it. Map it. Build it. Share it. Your way.",Get offer,Image,2025-11-28,https://fb.me/notion-business-trial
809761782231347,"🎯 Strategic Investment: Up to 3 Months of Notion Business at Zero Cost → Enterprise-Grade AI Suite → No Financial Commitment Required > Invite your team!","Plan it. Build it. Organize it. Share it. Your way.",Get offer,Image,2025-11-28,https://fb.me/notion-business-trial
3772558742878074,"🎯 Strategic Investment: Up to 3 Months of Notion Business at Zero Cost → Enterprise-Grade AI Suite → No Financial Commitment Required > Invite your team!","Smart Collaboration Meets AI Automation",Get offer,Image,2025-11-29,https://fb.me/notion-business-trial
1081287527329096,"🎯 Strategic Investment: Up to 3 Months of Notion Business at Zero Cost → Enterprise-Grade AI Suite → No Financial Commitment Required > Invite your team!","Organize Everything. Accomplish Anything.",Get offer,Image,2025-11-29,https://fb.me/notion-business-trial
824734757008434,"🎯 Strategic Investment: Up to 3 Months of Notion Business at Zero Cost → Enterprise-Grade AI Suite → No Financial Commitment Required > Invite your team!","Get up to $12,000 of Free Notion",Get offer,Image,2025-11-28,https://fb.me/notion-business-trial
